2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,country_code,Country
0.45,0.38,0.31,0.24,0.03,-0.1,-0.37,-0.3,-0.2,-0.09,-0.04,-0.09,AT,Austria
0.69,0.54,0.47,0.41,0.15,0.0,-0.28,-0.24,-0.16,-0.04,0.01,-0.03,BE,Belgium
0.68,0.67,0.5,0.48,0.32,0.43,0.35,0.35,0.25,0.22,0.18,0.15,BG,Bulgaria
2.0,1.74,1.49,1.34,0.82,0.66,0.44,0.48,0.51,0.58,0.57,0.61,CY,Cyprus
1.76,1.82,1.82,1.86,1.58,1.36,0.99,1.24,1.32,1.47,1.51,1.62,CZ,Czechia
0.06,0.01,-0.04,-0.13,-0.31,-0.39,-0.65,-0.59,-0.47,-0.35,-0.3,-0.31,DE,Germany
0.05,0.16,0.08,0.04,-0.22,-0.31,-0.58,-0.59,-0.43,-0.31,-0.26,-0.26,DK,Denmark
0.95,0.84,0.78,0.7,0.44,0.23,-0.03,-0.07,0.02,0.17,0.23,0.19,EA,
3.84,3.76,3.42,3.37,2.67,2.16,1.98,1.5,1.34,1.36,1.42,1.34,EL,
1.31,1.13,1.05,0.87,0.5,0.35,0.14,0.18,0.2,0.39,0.44,0.42,ES,Spain
1.18,1.11,1.05,0.99,0.71,0.51,0.25,0.23,0.31,0.45,0.51,0.49,19,
1.19,1.11,1.07,1.0,0.73,0.54,0.29,0.28,0.35,0.49,0.54,0.51,28,
0.38,0.35,0.34,0.25,0.05,-0.09,-0.35,-0.3,-0.21,-0.08,-0.04,-0.07,FI,Finland
0.55,0.44,0.37,0.3,0.08,-0.07,-0.34,-0.28,-0.16,-0.02,0.04,-0.01,FR,France
2.31,2.07,1.82,1.69,1.36,1.06,0.83,0.49,0.47,0.53,0.59,0.61,HR,Croatia
2.68,3.03,3.14,3.19,2.74,2.33,1.83,2.02,1.94,1.95,1.88,2.08,HU,Hungary
0.86,0.67,0.56,0.5,0.27,0.13,-0.05,-0.01,0.02,0.07,0.04,0.0,IE,Ireland
2.81,2.69,2.62,2.64,2.28,1.65,1.4,0.9,1.0,1.27,1.37,1.28,IT,Italy
0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,LT,Lithuania
0.26,0.17,0.11,0.02,-0.16,-0.28,-0.54,-0.5,-0.4,-0.27,-0.23,-0.25,LU,Luxembourg
0.81,0.7,0.58,0.51,0.33,0.15,-0.07,-0.11,0.0,0.1,0.16,0.11,LV,Latvia
1.17,1.03,1.0,0.95,0.73,0.52,0.21,0.19,0.26,0.37,0.4,0.38,MT,Malta
0.24,0.15,0.2,0.11,-0.09,-0.21,-0.5,-0.43,-0.31,-0.19,-0.14,-0.17,NL,Netherlands (the)
2.69,2.75,2.76,2.72,2.35,2.13,1.93,2.02,1.96,2.05,2.03,2.23,PL,Poland
1.55,1.32,1.18,1.02,0.59,0.44,0.17,0.2,0.19,0.35,0.41,0.37,PT,Portugal
4.79,4.8,4.91,4.93,4.59,4.51,4.12,4.12,4.12,4.32,4.57,4.28,RO,Romania
0.36,0.29,0.23,0.07,-0.09,-0.12,-0.36,-0.23,-0.16,0.0,0.07,0.11,SE,Sweden
0.87,0.67,0.52,0.38,0.19,-0.01,-0.06,-0.16,-0.09,-0.01,0.02,0.09,SI,Slovenia
0.78,0.68,0.57,0.45,0.25,0.02,-0.34,-0.34,-0.2,0.09,0.13,0.13,SK,Slovakia
1.2,1.14,1.15,1.06,0.84,0.73,0.49,0.58,0.61,0.73,0.78,0.67,UK,United Kingdom
